title,date,type_of_regulation,sector
BANK INDONESIA REGULATION NO. 6/11/PBI/2004 THE BLANKET GUARANTEE INTEREST RATE FOR DEPOSITS AND INTERBANK MONEY MARKET,12 April 2004,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO.6/16/DPM THE DECISION ON THE MARGIN OF DEPOSIT INTEREST RATE OF THIRD PARTY GUARANTEED BY THE GOVERNMENT/A>  AND  APPENDIX,31 March 2004,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO.6/15/DPNP FIT AND PROPER TEST AND APPENDIX,31 March 2004,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 6/9/PBI/2004 THE SUBSEQUENT ACTION FOR SUPERVISION AND DESIGNATION OF BANK STATUS,26 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.1/7/PBI/1999, DATED SEPTEMBER 20, 1999 - CONCERNING THE DEBTOR INFORMATION SYSTEM",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/1/PBI/2000, DATED JANUARY 14, 2000 - CONCERNING THE FIT AND PROPER TEST THE GOVERNOR OF BANK INDONESIA",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/5/PBI/2000, DATED FEBRUARY 21, 2000- CONCERNING PROVISION OF BANK FUNDS GUARANTEED BY OTHER BANKS",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/7/PBI/2000, DATED FEBRUARY 23, 2000- CONCERNING THE STATUTORY RESERVE IN RUPIAHS AND FOREIGN CURRENCIES FOR COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/11/PBI/2000, DATED MARCH 31, 2000 - CONCERNING DESIGNATION OF BANK STATUS AND PLACEMENT OF BANKS IN RECEIVERSHIP OF THE INDONESIA BANK RESTRUCTURING AGENCY",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/15/PBI/2000, DATED JUNE 12, 2000 - BANK INDONESIA REGULATION NO.2/16/PBI/2000 - CONCERNING AMENDMENT TO DECREE OF THE BOARD OF MANAGING DIRECTORS OF BANK INDONESIA NO.31/150/KEP/DIR DATED NOVEMBER 12, 1998 CONCERNING DEBT RE",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/16/PBI/2000, DATED JUNE 12, 2000 - CONCERNING AMENDMENT TO DECREE OF THE BOARD OF MANAGING DIRECTORS OF BANK INDONESIA NO.31/177/KEP/DIR DATED DECEMBER 31, 1998 CONCERNING THE LEGAL LENDING LIMIT FOR COMMERCIAL BANKS",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.1/1/PBI/1999, DATED MAY 18TH 1999 - CONCERNING FUNDING FACILITIES FOR RESOLVING SHORT TERM FUNDING DIFFICULTIES FOR COMMERCIAL BANKS",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.1/10/PBI/1999, DATED DECEMBER 3RD, 1999 - CONCERNING PORTFOLIO OF GOVERNMENT BONDS FOR COMMERCIAL BANKS PARTICIPATIG IN THE RECAPITALIZATION PROGRAM",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/6/PBI/2000, DATED FEBRUARY 21ST, 2000 - CONCERNING REQUIREMENTS AND PROCEDURES FOR BANK EXAMINATION",20 March 2004,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO.2/10/PBI/2000, DATED MARCH 29TH, 2000 - AMANDEMENT TO BANK INDONESIA REGULATION NO.1/10/PBI/1999 CONCERNING PORTFOLIO OF GOVERNMENT BONDS FOR COMMERCIAL BANKS PARTICIPATING IN THE BANK RECAPITALIZATION PROGRAM",20 March 2004,Bank Indonesia Regulation,Banking
"CIRCULLAR LETTER NO.2/3/DPNP, DATED JANUARY 26TH, 2000 - SCORING PROCEDURE FOR THE FIT AND PROPER TEST",19 March 2004,Bank Indonesia Circular Letters,Banking
"CIRCULLAR LETTER NO.1/5/DPNP, DATED DECEMBER 10TH, 1999 - REQUIREMENTS AND PROCEDURE FOR APPLICATION FOR USE OF GOVERNMENT BONDS AS COLLATERAL FOR COMMERCIAL BANKS PARTICIPATING IN THE RECAPITALIZATION PROGRAM",19 March 2004,Bank Indonesia Circular Letters,Banking
"CIRCULLAR LETTER NO.2/14/DPNP, DATED JUNE 27TH 2000 - DESIGNATION OF SERIES FR0002 GOVERNMENT BONDS FOR TRADING ON THE SECONDARY MARKET",19 March 2004,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 6/13/DPM THE PROCEDURE FOR LICENSING, THE APPLICATION OF KNOW YOUR CUSTOMER PRINCIPLE, THE SUPERVISION, REPORTING, AND SANCTION FOR NON-BANK MONEY CHANGERS  AND  APPENDIX",11 March 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/12/DPNP THE INTEREST RATE MARGIN FOR THIRD PARTY DEPOSIT UNDER GOVERNMENT GUARANTEE,26 February 2004,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NR.6/5/PBI/2004 THE ALTERATION OF BANK INDONESIA REGULATION NUMBER 4/10/PBI/2002 ON BANK INDONESIA CERTIFICATE,16 February 2004,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NR.6/4/PBI/2004 THE AMENDMENT TO BANK INDONESIA REGULATION NUMBER 4/9/PBI/2002 CONCERNING OPEN MARKET OPERATIONS,16 February 2004,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER NO.6/11/DPM THE CRITERIA, REQUIREMENTS AND PROCEDURES FOR APPOINTMENT OF BIDDERS FOR SOVEREIGN DEBT INSTRUMENTS  AND APPENDIX",16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/10/DPM PROCEDURES FOR GOVERNMENT SECURITIES AUCTION ON THE PRIMARY MARKET,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/9/DPM PROCEDURE FOR PROVISION OF THE SHARIA BANK SHORT TERM FINANCING FACILITY  AND  APPENDIX,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/4/DPM ISSUANCE AND TRADING OF BANK INDONESIA CERTIFICATE,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO.6/5/DPM IMPLEMENTATION AND SETTLEMENT OF BANK INDONESIA RUPIAH DEPOSIT FACILITY (FASBI) AND  APPENDIX,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 6/6/DPM OPERATING PROCEDURES FOR BANK INDONESIA WADIAH CERTIFICATES  AND APPENDIX,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO.6/3/DPM REQUIREMENTS AND PROCEDURE FOR APPOINTMENT OF SUB-REGISTRIES FOR SECURITIES ADMINISTRATION,16 February 2004,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NR. 6/2/DPM USER FEES FOR THE BANK INDONESIA - SCRIPLESS SECURITIES SETTLEMENT SYSTEM AND APPENDIX,16 February 2004,Bank Indonesia Regulation,Monetary
"BANK INDONESIA REGULATION NR. 6/3/PBI/2004 ISSUANCE, SALE AND PURCHASE, AND ADMINISTRATION OF GOVERNMENT SECURITIES",16 February 2004,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NR.6/2/PBI/2004 THE BANK INDONESIA - SCRIPLESS SECURITIES SETTLEMENT SYSTEM (BI-SSSS),16 February 2004,Bank Indonesia Regulation,Monetary
